task_id,pattern,difficulty,config,model,model_key,pass,reward,steps,delegations,tokens_in,tokens_cached,tokens_out,cost_usd,wallclock_s,terminal_reason,commit,run_id
2218_medium_22_single_bom_split_by_capacity_invoicing,22_single_bom_split_by_capacity_invoicing,medium,A_pi,z-ai/glm-5.1,big,False,20.4,63,0,3528048,3032512,53684,1.546572,2825.31,finish,8f68974bbf75ee29ca782b4d9b1b8b3c18e95a26,A_pi__big__eval100__20260901T213641Z
2229_hard_23_restricted_subassembly_qualified_workcenters_screened_all_seeded,23_restricted_subassembly_qualified_workcenters_screened_all_seeded,hard,A_pi,z-ai/glm-5.1,big,False,20.38,39,0,1686929,1423616,55536,0.884823,4110.6,finish,8f68974bbf75ee29ca782b4d9b1b8b3c18e95a26,A_pi__big__eval100__20260901T213641Z
2248_hard_24_single_subassembly_shared_overflow_capacity_screened_invoicing,24_single_subassembly_shared_overflow_capacity_screened_invoicing,hard,A_pi,z-ai/glm-5.1,big,True,100.0,49,0,2167129,1981824,51273,0.900272,653.6,finish,8f68974bbf75ee29ca782b4d9b1b8b3c18e95a26,A_pi__big__eval100__20260901T213641Z
2274_easy_repair_plan_easy,repair_plan_easy,easy,A_pi,z-ai/glm-5.1,big,False,21.09,14,0,244478,178176,22058,0.212583,1188.73,finish,8f68974bbf75ee29ca782b4d9b1b8b3c18e95a26,A_pi__big__eval100__20260901T213641Z
2288_medium_repair_plan_medium,repair_plan_medium,medium,A_pi,z-ai/glm-5.1,big,False,24.38,39,0,1836145,1555008,81739,1.041791,4438.26,finish,8f68974bbf75ee29ca782b4d9b1b8b3c18e95a26,A_pi__big__eval100__20260901T213641Z
2293_hard_repair_plan_hard,repair_plan_hard,hard,A_pi,z-ai/glm-5.1,big,False,21.0,34,0,1972062,1741504,70773,0.978276,849.55,finish,8f68974bbf75ee29ca782b4d9b1b8b3c18e95a26,A_pi__big__eval100__20260901T213641Z
2297_hard_repair_plan_hard,repair_plan_hard,hard,A_pi,z-ai/glm-5.1,big,True,99.07,22,0,961305,511360,44566,0.86307,2072.43,finish,8f68974bbf75ee29ca782b4d9b1b8b3c18e95a26,A_pi__big__eval100__20260901T213641Z
2003_easy_01_buy_only_baseline,01_buy_only_baseline,easy,A_pi,qwen/qwen3-32b,small,False,0.0,2,0,6912,2816,6248,0.002077,257.81,finish,714623028e0ca8f1d435addb9e630662d593224f,A_pi__small__eval100__20260901T115723Z
2009_easy_02_buy_only_immediate_invoicing,02_buy_only_immediate_invoicing,easy,A_pi,qwen/qwen3-32b,small,False,0.0,18,0,50591,37840,23552,0.007615,2281.01,finish,714623028e0ca8f1d435addb9e630662d593224f,A_pi__small__eval100__20260901T115723Z
2020_easy_03_buy_only_fixed_downpayment,03_buy_only_fixed_downpayment,easy,A_pi,qwen/qwen3-32b,small,False,0.0,3,0,11465,6752,11172,0.003505,443.49,finish,714623028e0ca8f1d435addb9e630662d593224f,A_pi__small__eval100__20260901T115723Z
2021_easy_03_buy_only_fixed_downpayment,03_buy_only_fixed_downpayment,easy,A_pi,qwen/qwen3-32b,small,False,0.0,4,0,0,0,0,0.0,4828.58,finish,714623028e0ca8f1d435addb9e630662d593224f,A_pi__small__eval100__20260901T115723Z
2031_easy_04_buy_only_percentage_downpayment,04_buy_only_percentage_downpayment,easy,A_pi,qwen/qwen3-32b,small,False,0.0,5,0,6891,1408,5615,0.002011,2774.77,finish,714623028e0ca8f1d435addb9e630662d593224f,A_pi__small__eval100__20260901T115723Z
2040_medium_05_screened_buy_only_all_seeded,05_screened_buy_only_all_seeded,medium,A_pi,qwen/qwen3-32b,small,False,0.0,16,0,95679,78288,17552,0.006306,688.2,finish,714623028e0ca8f1d435addb9e630662d593224f,A_pi__small__eval100__20260901T115723Z
2044_medium_06_screened_buy_only_mixed_seeded,06_screened_buy_only_mixed_seeded,medium,A_pi,qwen/qwen3-32b,small,False,0.0,28,0,130939,82336,29760,0.012221,7426.61,finish,714623028e0ca8f1d435addb9e630662d593224f,A_pi__small__eval100__20260901T115723Z
2046_medium_06_screened_buy_only_mixed_seeded,06_screened_buy_only_mixed_seeded,medium,A_pi,qwen/qwen3-32b,small,False,19.57,2,0,6253,4256,6918,0.002097,261.64,finish,714623028e0ca8f1d435addb9e630662d593224f,A_pi__small__eval100__20260901T115723Z
2049_medium_06_screened_buy_only_mixed_seeded,06_screened_buy_only_mixed_seeded,medium,A_pi,qwen/qwen3-32b,small,False,0.0,34,0,186531,122432,27986,0.012964,7624.01,finish,714623028e0ca8f1d435addb9e630662d593224f,A_pi__small__eval100__20260901T115723Z
2055_medium_07_screened_buy_only_mixed_seeded_invoicing,07_screened_buy_only_mixed_seeded_invoicing,medium,A_pi,qwen/qwen3-32b,small,False,0.0,4,0,14426,11536,7754,0.002402,336.43,finish,714623028e0ca8f1d435addb9e630662d593224f,A_pi__small__eval100__20260901T115723Z
2060_medium_07_screened_buy_only_mixed_seeded_invoicing,07_screened_buy_only_mixed_seeded_invoicing,medium,A_pi,qwen/qwen3-32b,small,False,8.33,54,0,280994,158512,49838,0.023753,15911.38,finish,714623028e0ca8f1d435addb9e630662d593224f,A_pi__small__eval100__20260901T115723Z
2063_medium_07_screened_buy_only_mixed_seeded_invoicing,07_screened_buy_only_mixed_seeded_invoicing,medium,A_pi,qwen/qwen3-32b,small,False,0.0,4,0,0,0,0,0.0,3253.08,finish,714623028e0ca8f1d435addb9e630662d593224f,A_pi__small__eval100__20260901T115723Z
2073_medium_08_single_bom_single_workcenter,08_single_bom_single_workcenter,medium,A_pi,qwen/qwen3-32b,small,False,0.0,4,0,0,0,0,0.0,3612.67,finish,714623028e0ca8f1d435addb9e630662d593224f,A_pi__small__eval100__20260901T115723Z
2077_medium_09_single_bom_lowest_cost,09_single_bom_lowest_cost,medium,A_pi,qwen/qwen3-32b,small,False,0.0,18,0,101061,63120,20652,0.008818,906.65,finish,714623028e0ca8f1d435addb9e630662d593224f,A_pi__small__eval100__20260901T115723Z
2080_medium_09_single_bom_lowest_cost,09_single_bom_lowest_cost,medium,A_pi,qwen/qwen3-32b,small,False,0.0,2,0,7155,4352,6354,0.002003,275.17,finish,714623028e0ca8f1d435addb9e630662d593224f,A_pi__small__eval100__20260901T115723Z
2087_medium_10_single_bom_split_by_capacity,10_single_bom_split_by_capacity,medium,A_pi,qwen/qwen3-32b,small,False,0.0,4,0,0,0,0,0.0,3714.26,finish,714623028e0ca8f1d435addb9e630662d593224f,A_pi__small__eval100__20260901T115723Z
2091_medium_10_single_bom_split_by_capacity,10_single_bom_split_by_capacity,medium,A_pi,qwen/qwen3-32b,small,False,0.0,80,0,571088,334736,72776,0.039285,15685.47,timeout,714623028e0ca8f1d435addb9e630662d593224f,A_pi__small__eval100__20260901T115723Z
2092_medium_10_single_bom_split_by_capacity,10_single_bom_split_by_capacity,medium,A_pi,qwen/qwen3-32b,small,False,0.0,2,0,8122,2816,4700,0.00174,1363.46,finish,714623028e0ca8f1d435addb9e630662d593224f,A_pi__small__eval100__20260901T115723Z
2094_medium_10_single_bom_split_by_capacity,10_single_bom_split_by_capacity,medium,A_pi,qwen/qwen3-32b,small,False,0.0,4,0,0,0,0,0.0,3641.42,finish,714623028e0ca8f1d435addb9e630662d593224f,A_pi__small__eval100__20260901T115723Z
2102_hard_11_restricted_subassembly_qualified_workcenters,11_restricted_subassembly_qualified_workcenters,hard,A_pi,qwen/qwen3-32b,small,False,0.0,12,0,32812,19568,10302,0.003944,3878.29,finish,714623028e0ca8f1d435addb9e630662d593224f,A_pi__small__eval100__20260901T115723Z
2108_medium_12_single_subassembly_lowest_cost,12_single_subassembly_lowest_cost,medium,A_pi,qwen/qwen3-32b,small,False,0.0,18,0,103388,57136,24661,0.010605,5101.19,finish,714623028e0ca8f1d435addb9e630662d593224f,A_pi__small__eval100__20260901T115723Z
2112_medium_12_single_subassembly_lowest_cost,12_single_subassembly_lowest_cost,medium,A_pi,qwen/qwen3-32b,small,False,0.0,27,0,169630,94544,20367,0.01171,3983.27,finish,714623028e0ca8f1d435addb9e630662d593224f,A_pi__small__eval100__20260901T115723Z
2121_medium_13_single_subassembly_qualified_workcenters,13_single_subassembly_qualified_workcenters,medium,A_pi,qwen/qwen3-32b,small,False,0.0,41,0,259532,120560,40732,0.022523,7905.23,finish,714623028e0ca8f1d435addb9e630662d593224f,A_pi__small__eval100__20260901T115723Z
2126_medium_13_single_subassembly_qualified_workcenters,13_single_subassembly_qualified_workcenters,medium,A_pi,qwen/qwen3-32b,small,False,0.47,13,0,78847,68976,14002,0.00471,2422.59,finish,714623028e0ca8f1d435addb9e630662d593224f,A_pi__small__eval100__20260901T115723Z
2136_medium_14_single_subassembly_shared_overflow_capacity,14_single_subassembly_shared_overflow_capacity,medium,A_pi,qwen/qwen3-32b,small,False,0.0,9,0,24712,15600,5683,0.00232,2712.02,finish,714623028e0ca8f1d435addb9e630662d593224f,A_pi__small__eval100__20260901T115723Z
2137_medium_14_single_subassembly_shared_overflow_capacity,14_single_subassembly_shared_overflow_capacity,medium,A_pi,qwen/qwen3-32b,small,False,0.0,16,0,80579,59952,19624,0.007145,2617.88,finish,714623028e0ca8f1d435addb9e630662d593224f,A_pi__small__eval100__20260901T115723Z
2139_medium_14_single_subassembly_shared_overflow_capacity,14_single_subassembly_shared_overflow_capacity,medium,A_pi,qwen/qwen3-32b,small,False,0.0,31,0,162252,55968,40765,0.019917,15426.49,finish,714623028e0ca8f1d435addb9e630662d593224f,A_pi__small__eval100__20260901T115723Z
2148_hard_15_parallel_subassemblies_branch_assigned,15_parallel_subassemblies_branch_assigned,hard,A_pi,qwen/qwen3-32b,small,False,0.0,4,0,0,0,0,0.0,3381.07,finish,714623028e0ca8f1d435addb9e630662d593224f,A_pi__small__eval100__20260901T115723Z
2159_hard_16_serial_subassemblies_branch_assigned,16_serial_subassemblies_branch_assigned,hard,A_pi,qwen/qwen3-32b,small,False,0.0,20,0,74484,17728,19612,0.010032,9059.48,finish,714623028e0ca8f1d435addb9e630662d593224f,A_pi__small__eval100__20260901T115723Z
2166_hard_17_shared_component_subassemblies_branch_assigned,17_shared_component_subassemblies_branch_assigned,hard,A_pi,qwen/qwen3-32b,small,False,0.0,20,0,89851,61968,18524,0.007417,2018.85,finish,714623028e0ca8f1d435addb9e630662d593224f,A_pi__small__eval100__20260901T115723Z
2170_hard_17_shared_component_subassemblies_branch_assigned,17_shared_component_subassemblies_branch_assigned,hard,A_pi,qwen/qwen3-32b,small,False,0.0,6,0,37316,17808,9637,0.004259,400.85,finish,714623028e0ca8f1d435addb9e630662d593224f,A_pi__small__eval100__20260901T115723Z
2176_medium_18_manufacture_only_policy_forbidden,18_manufacture_only_policy_forbidden,medium,A_pi,qwen/qwen3-32b,small,False,0.0,27,0,126277,82048,18104,0.008607,9628.68,finish,714623028e0ca8f1d435addb9e630662d593224f,A_pi__small__eval100__20260901T115723Z
2179_medium_18_manufacture_only_policy_forbidden,18_manufacture_only_policy_forbidden,medium,A_pi,qwen/qwen3-32b,small,False,0.0,16,0,97008,83536,20099,0.006705,815.31,finish,714623028e0ca8f1d435addb9e630662d593224f,A_pi__small__eval100__20260901T115723Z
2184_medium_19_manufacture_only_no_buy_route,19_manufacture_only_no_buy_route,medium,A_pi,qwen/qwen3-32b,small,False,0.0,4,0,0,0,0,0.0,4305.88,finish,714623028e0ca8f1d435addb9e630662d593224f,A_pi__small__eval100__20260901T115723Z
2187_medium_19_manufacture_only_no_buy_route,19_manufacture_only_no_buy_route,medium,A_pi,qwen/qwen3-32b,small,False,12.28,24,0,50399,29472,25894,0.008924,13608.05,finish,714623028e0ca8f1d435addb9e630662d593224f,A_pi__small__eval100__20260901T115723Z
2197_medium_20_manufacture_only_no_available_vendors,20_manufacture_only_no_available_vendors,medium,A_pi,qwen/qwen3-32b,small,False,0.0,13,0,73522,45456,19700,0.007761,1640.13,finish,714623028e0ca8f1d435addb9e630662d593224f,A_pi__small__eval100__20260901T115723Z
2201_medium_20_manufacture_only_no_available_vendors,20_manufacture_only_no_available_vendors,medium,A_pi,qwen/qwen3-32b,small,False,0.0,11,0,48630,41600,15581,0.004925,547.88,finish,714623028e0ca8f1d435addb9e630662d593224f,A_pi__small__eval100__20260901T115723Z
2203_medium_20_manufacture_only_no_available_vendors,20_manufacture_only_no_available_vendors,medium,A_pi,qwen/qwen3-32b,small,False,0.0,2,0,6963,4288,8499,0.002594,360.28,finish,714623028e0ca8f1d435addb9e630662d593224f,A_pi__small__eval100__20260901T115723Z
2209_medium_21_single_bom_lowest_cost_screened_mixed_seeded,21_single_bom_lowest_cost_screened_mixed_seeded,medium,A_pi,qwen/qwen3-32b,small,False,0.0,3,0,7390,2816,4647,0.001667,1997.61,finish,714623028e0ca8f1d435addb9e630662d593224f,A_pi__small__eval100__20260901T115723Z
2215_medium_21_single_bom_lowest_cost_screened_mixed_seeded,21_single_bom_lowest_cost_screened_mixed_seeded,medium,A_pi,qwen/qwen3-32b,small,False,15.1,9,0,34280,26224,12714,0.004204,3968.98,finish,714623028e0ca8f1d435addb9e630662d593224f,A_pi__small__eval100__20260901T115723Z
2216_medium_21_single_bom_lowest_cost_screened_mixed_seeded,21_single_bom_lowest_cost_screened_mixed_seeded,medium,A_pi,qwen/qwen3-32b,small,False,7.76,18,0,79922,34176,15206,0.007917,7122.86,finish,714623028e0ca8f1d435addb9e630662d593224f,A_pi__small__eval100__20260901T115723Z
2225_medium_22_single_bom_split_by_capacity_invoicing,22_single_bom_split_by_capacity_invoicing,medium,A_pi,qwen/qwen3-32b,small,False,0.0,39,0,179691,85616,47110,0.020717,13556.36,finish,714623028e0ca8f1d435addb9e630662d593224f,A_pi__small__eval100__20260901T115723Z
2228_medium_22_single_bom_split_by_capacity_invoicing,22_single_bom_split_by_capacity_invoicing,medium,A_pi,qwen/qwen3-32b,small,False,0.0,8,0,31308,27344,13125,0.003992,512.37,finish,714623028e0ca8f1d435addb9e630662d593224f,A_pi__small__eval100__20260901T115723Z
2230_hard_23_restricted_subassembly_qualified_workcenters_screened_all_seeded,23_restricted_subassembly_qualified_workcenters_screened_all_seeded,hard,A_pi,qwen/qwen3-32b,small,False,0.0,22,0,80755,41024,21589,0.009223,7434.4,finish,714623028e0ca8f1d435addb9e630662d593224f,A_pi__small__eval100__20260901T115723Z
2234_hard_23_restricted_subassembly_qualified_workcenters_screened_all_seeded,23_restricted_subassembly_qualified_workcenters_screened_all_seeded,hard,A_pi,qwen/qwen3-32b,small,False,0.0,4,0,0,0,0,0.0,4608.91,finish,714623028e0ca8f1d435addb9e630662d593224f,A_pi__small__eval100__20260901T115723Z
2241_hard_24_single_subassembly_shared_overflow_capacity_screened_invoicing,24_single_subassembly_shared_overflow_capacity_screened_invoicing,hard,A_pi,qwen/qwen3-32b,small,False,0.0,4,0,0,0,0,0.0,3150.46,finish,714623028e0ca8f1d435addb9e630662d593224f,A_pi__small__eval100__20260901T115723Z
2247_hard_24_single_subassembly_shared_overflow_capacity_screened_invoicing,24_single_subassembly_shared_overflow_capacity_screened_invoicing,hard,A_pi,qwen/qwen3-32b,small,False,0.0,12,0,55980,44208,20571,0.006702,841.47,finish,714623028e0ca8f1d435addb9e630662d593224f,A_pi__small__eval100__20260901T115723Z
2251_hard_25_shared_component_subassemblies_branch_assigned_screened_all_seeded,25_shared_component_subassemblies_branch_assigned_screened_all_seeded,hard,A_pi,qwen/qwen3-32b,small,False,0.0,11,0,67067,60848,13694,0.004332,557.66,finish,714623028e0ca8f1d435addb9e630662d593224f,A_pi__small__eval100__20260901T115723Z
2252_hard_25_shared_component_subassemblies_branch_assigned_screened_all_seeded,25_shared_component_subassemblies_branch_assigned_screened_all_seeded,hard,A_pi,qwen/qwen3-32b,small,False,0.0,4,0,0,0,0,0.0,4833.18,finish,714623028e0ca8f1d435addb9e630662d593224f,A_pi__small__eval100__20260901T115723Z
2260_hard_25_shared_component_subassemblies_branch_assigned_screened_all_seeded,25_shared_component_subassemblies_branch_assigned_screened_all_seeded,hard,A_pi,qwen/qwen3-32b,small,False,0.21,17,0,95138,62528,21697,0.008684,2737.89,finish,714623028e0ca8f1d435addb9e630662d593224f,A_pi__small__eval100__20260901T115723Z
2266_easy_26_buy_only_net_30_no_adjacent_data,26_buy_only_net_30_no_adjacent_data,easy,A_pi,qwen/qwen3-32b,small,False,0.0,4,0,0,0,0,0.0,3926.19,finish,714623028e0ca8f1d435addb9e630662d593224f,A_pi__small__eval100__20260901T115723Z
2273_easy_repair_plan_easy,repair_plan_easy,easy,A_pi,qwen/qwen3-32b,small,False,17.19,12,0,51324,39936,19788,0.006452,3628.89,finish,714623028e0ca8f1d435addb9e630662d593224f,A_pi__small__eval100__20260901T115723Z
2277_easy_repair_plan_easy,repair_plan_easy,easy,A_pi,qwen/qwen3-32b,small,False,0.0,18,0,66502,53296,19417,0.006493,2475.06,finish,714623028e0ca8f1d435addb9e630662d593224f,A_pi__small__eval100__20260901T115723Z
2289_medium_repair_plan_medium,repair_plan_medium,medium,A_pi,qwen/qwen3-32b,small,False,0.0,7,0,25455,19808,7239,0.002479,225.56,finish,714623028e0ca8f1d435addb9e630662d593224f,A_pi__small__eval100__20260901T115723Z
2294_hard_repair_plan_hard,repair_plan_hard,hard,A_pi,qwen/qwen3-32b,small,False,0.0,7,0,25932,23184,5753,0.001831,211.87,finish,714623028e0ca8f1d435addb9e630662d593224f,A_pi__small__eval100__20260901T115723Z
2005_easy_01_buy_only_baseline,01_buy_only_baseline,easy,A_pi,qwen/qwen3-32b,small,False,0.0,20,0,120982,97952,19508,0.007305,873.65,finish,8f68974bbf75ee29ca782b4d9b1b8b3c18e95a26,A_pi__small__eval100__20260901T213647Z
2034_medium_05_screened_buy_only_all_seeded,05_screened_buy_only_all_seeded,medium,A_pi,qwen/qwen3-32b,small,False,0.0,16,0,86913,64624,19914,0.007359,817.85,finish,8f68974bbf75ee29ca782b4d9b1b8b3c18e95a26,A_pi__small__eval100__20260901T213647Z
2048_medium_06_screened_buy_only_mixed_seeded,06_screened_buy_only_mixed_seeded,medium,A_pi,qwen/qwen3-32b,small,False,0.0,14,0,76847,60576,19187,0.006674,678.1,finish,8f68974bbf75ee29ca782b4d9b1b8b3c18e95a26,A_pi__small__eval100__20260901T213647Z
2076_medium_09_single_bom_lowest_cost,09_single_bom_lowest_cost,medium,A_pi,qwen/qwen3-32b,small,False,0.47,18,0,110672,79632,18905,0.007777,800.56,finish,8f68974bbf75ee29ca782b4d9b1b8b3c18e95a26,A_pi__small__eval100__20260901T213647Z
2118_medium_13_single_subassembly_qualified_workcenters,13_single_subassembly_qualified_workcenters,medium,A_pi,qwen/qwen3-32b,small,False,0.0,2,0,8015,4464,7304,0.002329,238.08,finish,8f68974bbf75ee29ca782b4d9b1b8b3c18e95a26,A_pi__small__eval100__20260901T213647Z
2129_medium_14_single_subassembly_shared_overflow_capacity,14_single_subassembly_shared_overflow_capacity,medium,A_pi,qwen/qwen3-32b,small,False,0.0,2,0,7913,4448,5553,0.001832,215.99,finish,8f68974bbf75ee29ca782b4d9b1b8b3c18e95a26,A_pi__small__eval100__20260901T213647Z
2149_hard_15_parallel_subassemblies_branch_assigned,15_parallel_subassemblies_branch_assigned,hard,A_pi,qwen/qwen3-32b,small,False,0.0,16,0,97772,64544,20817,0.008487,880.37,finish,8f68974bbf75ee29ca782b4d9b1b8b3c18e95a26,A_pi__small__eval100__20260901T213647Z
2164_hard_17_shared_component_subassemblies_branch_assigned,17_shared_component_subassemblies_branch_assigned,hard,A_pi,qwen/qwen3-32b,small,False,0.0,10,0,35596,9232,12823,0.0057,3676.46,finish,8f68974bbf75ee29ca782b4d9b1b8b3c18e95a26,A_pi__small__eval100__20260901T213647Z
2174_medium_18_manufacture_only_policy_forbidden,18_manufacture_only_policy_forbidden,medium,A_pi,qwen/qwen3-32b,small,False,0.0,19,0,78561,68192,16347,0.005407,4081.18,finish,8f68974bbf75ee29ca782b4d9b1b8b3c18e95a26,A_pi__small__eval100__20260901T213647Z
2218_medium_22_single_bom_split_by_capacity_invoicing,22_single_bom_split_by_capacity_invoicing,medium,A_pi,qwen/qwen3-32b,small,False,0.0,42,0,321716,185232,32618,0.020052,4789.64,finish,8f68974bbf75ee29ca782b4d9b1b8b3c18e95a26,A_pi__small__eval100__20260901T213647Z
2270_easy_26_buy_only_net_30_no_adjacent_data,26_buy_only_net_30_no_adjacent_data,easy,A_pi,qwen/qwen3-32b,small,False,0.0,19,0,80174,55744,19344,0.007371,4301.88,finish,8f68974bbf75ee29ca782b4d9b1b8b3c18e95a26,A_pi__small__eval100__20260901T213647Z
2282_medium_repair_plan_medium,repair_plan_medium,medium,A_pi,qwen/qwen3-32b,small,False,0.0,26,0,125205,104016,19909,0.00727,3971.8,finish,8f68974bbf75ee29ca782b4d9b1b8b3c18e95a26,A_pi__small__eval100__20260901T213647Z
